"","Units","scenario","region","sector","subsector","PrimaryFuelCO2Coef.name","year","value","PrimaryFuelCO2Coef","fuel"
"38","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","electricity","elect_td_ind",2035,0.00014998,0,"elect_td_ind"
"39","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","electricity","elect_td_ind",2040,0.000426698,0,"elect_td_ind"
"40","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","electricity","elect_td_ind",2045,0.000996052,0,"elect_td_ind"
"41","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","electricity","elect_td_ind",2050,0.00194073,0,"elect_td_ind"
"42","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","electricity","elect_td_ind",2055,0.00279771,0,"elect_td_ind"
"43","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","electricity","elect_td_ind",2060,0.00349242,0,"elect_td_ind"
"44","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","electricity","elect_td_ind",2065,0.00383832,0,"elect_td_ind"
"45","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","electricity","elect_td_ind",2070,0.00446445,0,"elect_td_ind"
"46","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","electricity","elect_td_ind",2075,0.00484834,0,"elect_td_ind"
"47","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","electricity","elect_td_ind",2080,0.00497138,0,"elect_td_ind"
"48","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","electricity","elect_td_ind",2085,0.00495164,0,"elect_td_ind"
"49","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","electricity","elect_td_ind",2090,0.004836,0,"elect_td_ind"
"50","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","electricity","elect_td_ind",2095,0.00469567,0,"elect_td_ind"
"51","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","electricity","elect_td_ind",2100,0.0046618,0,"elect_td_ind"
"52","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","gas","regional natural gas",2020,0.000190931,14.2,"natural gas"
"53","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","gas","regional natural gas",2025,0.0006252661,14.2,"natural gas"
"54","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","gas","regional natural gas",2030,0.0027915347,14.2,"natural gas"
"55","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","gas","regional natural gas",2035,0.0084719678,14.2,"natural gas"
"56","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","gas","regional natural gas",2040,0.0171280853,14.2,"natural gas"
"57","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","gas","regional natural gas",2045,0.0258279344,14.2,"natural gas"
"58","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","gas","regional natural gas",2050,0.0340443933,14.2,"natural gas"
"59","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","gas","regional natural gas",2055,0.0375330901,14.2,"natural gas"
"60","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","gas","regional natural gas",2060,0.037139725,14.2,"natural gas"
"61","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","gas","regional natural gas",2065,0.031450797,14.2,"natural gas"
"62","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","gas","regional natural gas",2070,0.029792045,14.2,"natural gas"
"63","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","gas","regional natural gas",2075,0.027669513,14.2,"natural gas"
"64","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","gas","regional natural gas",2080,0.02534443,14.2,"natural gas"
"65","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","gas","regional natural gas",2085,0.023071162,14.2,"natural gas"
"66","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","gas","regional natural gas",2090,0.020566939,14.2,"natural gas"
"67","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","gas","regional natural gas",2095,0.018048674,14.2,"natural gas"
"68","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","gas","regional natural gas",2100,0.016290444,14.2,"natural gas"
"69","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","nuclear","nuclearFuelGenIII",2020,2.37978e-05,0,"nuclearFuelGenIII"
"70","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","nuclear","nuclearFuelGenIII",2025,0.00020419,0,"nuclearFuelGenIII"
"71","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","nuclear","nuclearFuelGenIII",2030,0.00130676,0,"nuclearFuelGenIII"
"72","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","nuclear","nuclearFuelGenIII",2035,0.00439612,0,"nuclearFuelGenIII"
"73","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","nuclear","nuclearFuelGenIII",2040,0.0123416,0,"nuclearFuelGenIII"
"74","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","nuclear","nuclearFuelGenIII",2045,0.027756,0,"nuclearFuelGenIII"
"75","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","nuclear","nuclearFuelGenIII",2050,0.0492425,0,"nuclearFuelGenIII"
