scenario,region,direct,transformation,enduse,ghg,Units,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,electricity,Car,CO2,MTCO2e,0,0,0,1.52E-05,0.000696956,0.000373239,0.000363533,0.000353223,0.000257662,0.000185651,0.000162554,0.000128476,9.86E-05,9.20E-05,8.13E-05,8.13E-05,7.69E-05,7.27E-05,7.53E-05,7.33E-05,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,gas,backup_electricity,Car,CO2,MTCO2e,0,0,0,4.49E-14,1.91E-07,0.000143579,0.000715202,0.002589234,0.006276632,0.009997922,0.012877263,0.014153378,0.014194565,0.013505715,0.013267545,0.013772866,0.014228638,0.014488121,0.014486789,0.014314209,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,gas,electricity,Car,CO2,MTCO2e,0,0,0,2.31E-06,0.000234908,0.000538658,0.000755875,0.001109755,0.001370333,0.001378528,0.001383739,0.001260283,0.001064226,0.000926294,0.000822594,0.000786314,0.000744742,0.000702814,0.000683684,0.000651934,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,electricity,Car,CO2,MTCO2e,0,0,0,4.57E-05,0.001955292,0.004253332,0.005278465,0.00623843,0.006336295,0.005574911,0.005122954,0.004117521,0.003138633,0.002809526,0.002390869,0.002265908,0.002042013,0.001819365,0.001729732,0.00156262,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,biomass,electricity,cement,CO2,MTCO2e,-7.98E-08,3.73E-08,-7.86E-08,-1.51E-07,-0.013369024,-0.033041468,-0.070382407,-0.100509271,-0.086105033,-0.054354139,-0.040582519,-0.033809092,-0.028823078,-0.027331024,-0.024942265,-0.023187356,-0.022401843,-0.02392709,-0.026363422,-0.029022237,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,electricity,cement,CO2,MTCO2e,0.062976881,0.108194351,0.051292763,0.067841002,0.010723812,0.001021199,0.000663234,0.000493985,0.000305736,0.000192123,0.000148639,0.000106727,7.65E-05,6.80E-05,5.81E-05,5.68E-05,5.30E-05,4.98E-05,5.16E-05,5.06E-05,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,gas,electricity,cement,CO2,MTCO2e,0,0.001930081,0.004347602,0.010336734,0.003614442,0.001473793,0.001379027,0.001552001,0.001626006,0.001426589,0.001265282,0.001046932,0.000825414,0.000684602,0.000588249,0.00054961,0.00051341,0.000481631,0.000469176,0.000450163,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,gas,backup_electricity,cement,CO2,MTCO2e,0,0,0,2.01E-10,2.94E-06,0.00039284,0.001304824,0.003621063,0.007447708,0.010346485,0.01177489,0.011757379,0.011009314,0.009981747,0.009487819,0.009626827,0.009808928,0.009928562,0.009941512,0.009884022,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,electricity,cement,CO2,MTCO2e,0.256788699,0.258207531,0.248239314,0.204707615,0.030085402,0.011637315,0.009630092,0.008724492,0.007518503,0.005769272,0.004684398,0.003420474,0.002434326,0.002076452,0.001709746,0.001583803,0.001407722,0.001246793,0.001187023,0.001078996,,
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,biomass,electricity,ces,CO2,MTCO2e,0,0,0,0,0,-0.008958367,-0.134132722,-0.814528788,-0.59974294,-0.074787902,-0.007343617,-0.004287451,-0.002564983,-0.001743921,-0.001280202,-0.001051587,-0.000848892,-0.00080673,-0.000771884,-0.0008149,,
