"","scenario","region","sector","year","normfrac"
"1","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2020,7.10844336151091e-10
"2","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2025,9.45893406674384e-05
"3","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2030,-0.0212157318793437
"4","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2035,-0.0227126722901925
"5","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2040,-0.0419151431569207
"6","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2045,-0.107148349428851
"7","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2050,-0.280805011698204
"8","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2055,-0.513877369182633
"9","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2060,-0.664035214475671
"10","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2065,-0.747000202633754
"11","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2070,-0.671368515413056
"12","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2075,-0.703153996624927
"13","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2080,-0.81745695402067
"14","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2085,-0.888808534923551
"15","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2090,-0.780059482936235
"16","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2095,-0.647891364208576
"17","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2100,-0.539630594170164
"18","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","csp_backup",2030,-1.47986316154951e-07
"19","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","csp_backup",2035,-1.73738908353366e-05
"20","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","csp_backup",2040,-0.00013268340488625
"21","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","csp_backup",2045,-0.000466485106705509
"22","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","csp_backup",2050,-0.00173398314211925
"23","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","csp_backup",2055,-0.00462761114449965
"24","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","csp_backup",2060,-0.00867687602273331
"25","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","csp_backup",2065,-0.0134407023830836
"26","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","csp_backup",2070,-0.0160687253434714
"27","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","csp_backup",2075,-0.0212004766018373
"28","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","csp_backup",2080,-0.0292073392449596
"29","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","csp_backup",2085,-0.034928067861654
"30","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","csp_backup",2090,-0.0324064779721224
"31","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","csp_backup",2095,-0.0277552609253715
"32","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","csp_backup",2100,-0.0232902078325519
"33","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","elec_biomass (conv)",1990,-2.65550685337441e-07
"34","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","elec_biomass (conv)",2005,-2.49644108950908e-07
"35","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","elec_biomass (conv)",2010,1.0121013309577e-07
"36","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","elec_biomass (conv)",2015,-2.58785867054056e-07
"37","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","elec_biomass (conv)",2020,-5.32399710321704e-07
"38","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","elec_biomass (conv)",2025,-5.09247142544611e-07
"39","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","elec_biomass (conv)",2030,-7.61537070628346e-08
