"","scenario","region","year","direct","transformation","enduse","ghg","value","Units"
"1","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"electricity","electricity","agricultural energy use","CO2",0.1284092,"MTCO2e"
"2","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"electricity","electricity","cement","CO2",0.3197655,"MTCO2e"
"3","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"electricity","electricity","comm cooling","CO2",0.4110229,"MTCO2e"
"4","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"electricity","electricity","comm others","CO2",1.603747,"MTCO2e"
"5","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"electricity","electricity","Freight Rail","CO2",0.00126867,"MTCO2e"
"6","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"electricity","electricity","industrial energy use","CO2",2.853415,"MTCO2e"
"7","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"electricity","electricity","Passenger Rail","CO2",0.00126868,"MTCO2e"
"8","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"electricity","electricity","resid cooling","CO2",1.27831,"MTCO2e"
"9","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"electricity","electricity","resid others","CO2",1.480581,"MTCO2e"
"10","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","2W and 3W","CO2",0.00351878,"MTCO2e"
"11","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","agricultural energy use","CO2",0.03306644,"MTCO2e"
"12","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","Bus","CO2",0.02820178,"MTCO2e"
"13","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","Car","CO2",0.04811847,"MTCO2e"
"14","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","cement","CO2",0.0149997,"MTCO2e"
"15","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","comm heating","CO2",0.001465121,"MTCO2e"
"16","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","comm others","CO2",0.02874368,"MTCO2e"
"17","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","construction","CO2",0.002636919,"MTCO2e"
"18","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","Domestic Aviation","CO2",0.0332739,"MTCO2e"
"19","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","Domestic Ship","CO2",0.0004465794,"MTCO2e"
