"","scenario","region","year","direct","transformation","enduse","ghg","value","Units"
"20","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","Freight Rail","CO2",0.001269677,"MTCO2e"
"21","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","Heavy truck","CO2",0.02134724,"MTCO2e"
"22","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","industrial energy use","CO2",0.1340895,"MTCO2e"
"23","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","industrial feedstocks","CO2",0.04062591,"MTCO2e"
"24","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","International Aviation","CO2",0.04141212,"MTCO2e"
"25","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","International Ship","CO2",0.04983426,"MTCO2e"
"26","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","Large Car and Truck","CO2",0.02301622,"MTCO2e"
"27","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","Light truck","CO2",0.009415694,"MTCO2e"
"28","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","Medium truck","CO2",0.09139422,"MTCO2e"
"29","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","Mini Car","CO2",0.01830817,"MTCO2e"
"30","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","Passenger Rail","CO2",0.0001410765,"MTCO2e"
"31","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2005,"refining","refining","resid others","CO2",0.0480433,"MTCO2e"
"32","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"electricity","electricity","agricultural energy use","CO2",0.1266877,"MTCO2e"
"33","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"electricity","electricity","cement","CO2",0.368332,"MTCO2e"
"34","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"electricity","electricity","comm cooling","CO2",0.4903474,"MTCO2e"
"35","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"electricity","electricity","comm others","CO2",1.91326,"MTCO2e"
"36","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"electricity","electricity","industrial energy use","CO2",2.651717,"MTCO2e"
"37","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"electricity","electricity","iron and steel","CO2",0.1151869,"MTCO2e"
"38","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"electricity","electricity","resid cooling","CO2",1.52957,"MTCO2e"
"39","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"electricity","electricity","resid others","CO2",1.771603,"MTCO2e"
"40","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"gas processing","gas processing","cement","CO2",-1.874903e-09,"MTCO2e"
"41","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"gas processing","gas processing","industrial energy use","CO2",-5.58093e-09,"MTCO2e"
"42","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"gas processing","gas processing","industrial feedstocks","CO2",-1.36105e-09,"MTCO2e"
"43","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","2W and 3W","CO2",0.005965043,"MTCO2e"
"44","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","agricultural energy use","CO2",0.02204436,"MTCO2e"
"45","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","Bus","CO2",0.04780676,"MTCO2e"
"46","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","Car","CO2",0.08156864,"MTCO2e"
"47","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","cement","CO2",0.02113133,"MTCO2e"
"48","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","comm heating","CO2",0.001809046,"MTCO2e"
"49","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","comm others","CO2",0.03548861,"MTCO2e"
"50","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","construction","CO2",0.008245503,"MTCO2e"
"51","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","Domestic Aviation","CO2",0.04630356,"MTCO2e"
"52","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","Domestic Ship","CO2",0.0009360947,"MTCO2e"
"53","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","Freight Rail","CO2",0.002152416,"MTCO2e"
"54","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","Heavy truck","CO2",0.03618728,"MTCO2e"
"55","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","industrial energy use","CO2",0.2215602,"MTCO2e"
"56","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","industrial feedstocks","CO2",0.04283439,"MTCO2e"
"57","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","International Aviation","CO2",0.05762863,"MTCO2e"
"58","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","International Ship","CO2",0.1155655,"MTCO2e"
"59","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","Large Car and Truck","CO2",0.03901639,"MTCO2e"
"60","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","Light truck","CO2",0.0159612,"MTCO2e"
"61","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","Medium truck","CO2",0.1549282,"MTCO2e"
"62","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","Mini Car","CO2",0.03103533,"MTCO2e"
"63","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","mining energy use","CO2",0.002568082,"MTCO2e"
"64","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","Passenger Rail","CO2",0.0002391603,"MTCO2e"
"65","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2010,"refining","refining","resid others","CO2",0.05998618,"MTCO2e"
"66","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"electricity","electricity","agricultural energy use","CO2",0.2360987,"MTCO2e"
"67","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"electricity","electricity","cement","CO2",0.3038796,"MTCO2e"
"68","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"electricity","electricity","comm cooling","CO2",0.5293222,"MTCO2e"
"69","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"electricity","electricity","comm others","CO2",2.065344,"MTCO2e"
"70","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"electricity","electricity","industrial energy use","CO2",3.198651,"MTCO2e"
"71","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"electricity","electricity","iron and steel","CO2",0.166579,"MTCO2e"
"72","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"electricity","electricity","mining energy use","CO2",0.001648366,"MTCO2e"
"73","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"electricity","electricity","resid cooling","CO2",1.879973,"MTCO2e"
"74","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"electricity","electricity","resid others","CO2",2.177452,"MTCO2e"
"75","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"gas processing","gas processing","cement","CO2",-1.57464e-08,"MTCO2e"
"76","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"gas processing","gas processing","industrial energy use","CO2",-2.35065e-08,"MTCO2e"
"77","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"gas processing","gas processing","industrial feedstocks","CO2",-3.783443e-08,"MTCO2e"
"78","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","2W and 3W","CO2",0.003974373,"MTCO2e"
"79","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","agricultural energy use","CO2",0.01463861,"MTCO2e"
"80","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","Bus","CO2",0.03185307,"MTCO2e"
"81","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","Car","CO2",0.0543482,"MTCO2e"
"82","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","cement","CO2",0.01138194,"MTCO2e"
"83","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","comm heating","CO2",0.0009522722,"MTCO2e"
"84","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","comm others","CO2",0.0186814,"MTCO2e"
"85","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","construction","CO2",0.002106152,"MTCO2e"
"86","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","Domestic Aviation","CO2",0.02523719,"MTCO2e"
"87","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","Domestic Ship","CO2",0.0003533989,"MTCO2e"
"88","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","Freight Rail","CO2",0.001434114,"MTCO2e"
"89","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","Heavy truck","CO2",0.02411115,"MTCO2e"
"90","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","industrial energy use","CO2",0.1126745,"MTCO2e"
"91","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","industrial feedstocks","CO2",0.02767754,"MTCO2e"
"92","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","International Aviation","CO2",0.03140986,"MTCO2e"
"93","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","International Ship","CO2",0.01296812,"MTCO2e"
"94","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","Large Car and Truck","CO2",0.0259961,"MTCO2e"
"95","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","Light truck","CO2",0.01063479,"MTCO2e"
"96","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","Medium truck","CO2",0.1032268,"MTCO2e"
"97","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","Mini Car","CO2",0.02067852,"MTCO2e"
"98","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","mining energy use","CO2",0.001370317,"MTCO2e"
"99","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","Passenger Rail","CO2",0.0001593613,"MTCO2e"
"100","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2015,"refining","refining","resid others","CO2",0.03086556,"MTCO2e"
"101","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","2W and 3W","CO2",0.03690793,"MTCO2e"
"102","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","agricultural energy use","CO2",0.2711944,"MTCO2e"
"103","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","Bus","CO2",0.02684769,"MTCO2e"
"104","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","Car","CO2",6.320418e-05,"MTCO2e"
"105","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","cement","CO2",0.2828852,"MTCO2e"
"106","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","comm cooling","CO2",0.5618238,"MTCO2e"
"107","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","comm others","CO2",3.138662,"MTCO2e"
"108","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","construction","CO2",9.959182e-05,"MTCO2e"
"109","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","Heavy truck","CO2",1.559747e-07,"MTCO2e"
"110","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","HSR","CO2",7.365841e-06,"MTCO2e"
"111","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","industrial energy use","CO2",3.142873,"MTCO2e"
"112","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","iron and steel","CO2",0.2834569,"MTCO2e"
"113","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","Large Car and Truck","CO2",1.629e-05,"MTCO2e"
"114","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","Light truck","CO2",0.0001153154,"MTCO2e"
"115","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","Medium truck","CO2",1.405594e-06,"MTCO2e"
"116","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","Mini Car","CO2",1.453854e-05,"MTCO2e"
"117","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","mining energy use","CO2",0.00145486,"MTCO2e"
"118","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","resid cooling","CO2",1.842162,"MTCO2e"
"119","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"electricity","electricity","resid others","CO2",4.213953,"MTCO2e"
"120","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"gas processing","gas processing","2W and 3W","CO2",1.10484e-05,"MTCO2e"
"121","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"gas processing","gas processing","Bus","CO2",0.0002824715,"MTCO2e"
"122","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"gas processing","gas processing","Car","CO2",5.621554e-07,"MTCO2e"
"123","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"gas processing","gas processing","cement","CO2",0.0001628728,"MTCO2e"
"124","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"gas processing","gas processing","comm others","CO2",4.70513e-07,"MTCO2e"
"125","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"gas processing","gas processing","construction","CO2",7.754231e-07,"MTCO2e"
"126","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"gas processing","gas processing","Heavy truck","CO2",2.855624e-05,"MTCO2e"
"127","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"gas processing","gas processing","industrial energy use","CO2",0.0002382205,"MTCO2e"
"128","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"gas processing","gas processing","industrial feedstocks","CO2",0.0003992385,"MTCO2e"
"129","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"gas processing","gas processing","Large Car and Truck","CO2",7.611803e-07,"MTCO2e"
"130","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"gas processing","gas processing","Light truck","CO2",8.62617e-06,"MTCO2e"
"131","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"gas processing","gas processing","Medium truck","CO2",0.0001002438,"MTCO2e"
"132","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"gas processing","gas processing","Mini Car","CO2",5.231318e-08,"MTCO2e"
"133","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"gas processing","gas processing","mining energy use","CO2",6.041674e-07,"MTCO2e"
"134","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"gas processing","gas processing","N fertilizer","CO2",5.068982e-05,"MTCO2e"
"135","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"H2 enduse","H2 enduse","agricultural energy use","CO2",0.0003993828,"MTCO2e"
"136","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"H2 enduse","H2 enduse","construction","CO2",0.000201022,"MTCO2e"
"137","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"H2 enduse","H2 enduse","industrial energy use","CO2",0.03842308,"MTCO2e"
"138","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"H2 enduse","H2 enduse","iron and steel","CO2",0.0004874317,"MTCO2e"
"139","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"H2 enduse","H2 enduse","mining energy use","CO2",0.0001566253,"MTCO2e"
"140","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","2W and 3W","CO2",0.002723727,"MTCO2e"
"141","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","agricultural energy use","CO2",0.0202766,"MTCO2e"
"142","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","Bus","CO2",0.04087616,"MTCO2e"
"143","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","Car","CO2",0.05594271,"MTCO2e"
"144","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","cement","CO2",0.01659824,"MTCO2e"
"145","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","comm heating","CO2",0.001390495,"MTCO2e"
"146","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","comm others","CO2",0.01723601,"MTCO2e"
"147","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","construction","CO2",0.002735776,"MTCO2e"
"148","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","Domestic Aviation","CO2",0.0402474,"MTCO2e"
"149","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","Domestic Ship","CO2",0.0004675668,"MTCO2e"
"150","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","Freight Rail","CO2",0.002026421,"MTCO2e"
"151","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","Heavy truck","CO2",0.03167558,"MTCO2e"
"152","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","industrial energy use","CO2",0.1767034,"MTCO2e"
"153","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","industrial feedstocks","CO2",0.0442683,"MTCO2e"
"154","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","International Aviation","CO2",0.0462506,"MTCO2e"
"155","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","International Ship","CO2",0.0170437,"MTCO2e"
"156","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","Large Car and Truck","CO2",0.0271796,"MTCO2e"
"157","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","Light truck","CO2",0.01387233,"MTCO2e"
"158","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","Medium truck","CO2",0.1363739,"MTCO2e"
"159","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","Mini Car","CO2",0.02143617,"MTCO2e"
"160","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","mining energy use","CO2",0.001771052,"MTCO2e"
"161","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","Passenger Rail","CO2",0.0002316238,"MTCO2e"
"162","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2020,"refining","refining","resid others","CO2",0.03620753,"MTCO2e"
"163","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","2W and 3W","CO2",0.01358966,"MTCO2e"
"164","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","agricultural energy use","CO2",0.06946492,"MTCO2e"
"165","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","Bus","CO2",0.02238057,"MTCO2e"
"166","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","Car","CO2",0.002018475,"MTCO2e"
"167","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","cement","CO2",0.03105757,"MTCO2e"
"168","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","comm cooling","CO2",0.07564367,"MTCO2e"
"169","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","comm others","CO2",0.5594412,"MTCO2e"
"170","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","construction","CO2",6.961181e-05,"MTCO2e"
"171","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","Heavy truck","CO2",0.0008434614,"MTCO2e"
"172","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","HSR","CO2",2.290414e-06,"MTCO2e"
"173","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","industrial energy use","CO2",0.8722956,"MTCO2e"
"174","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","iron and steel","CO2",0.09465962,"MTCO2e"
"175","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","Large Car and Truck","CO2",0.0006838515,"MTCO2e"
"176","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","Light truck","CO2",0.002273259,"MTCO2e"
"177","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","Medium truck","CO2",0.005900963,"MTCO2e"
"178","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","Mini Car","CO2",0.0007413419,"MTCO2e"
"179","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","mining energy use","CO2",0.0003290091,"MTCO2e"
"180","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","resid cooling","CO2",0.2385595,"MTCO2e"
"181","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"electricity","electricity","resid others","CO2",0.920292,"MTCO2e"
"182","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"gas processing","gas processing","2W and 3W","CO2",9.30016e-07,"MTCO2e"
"183","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"gas processing","gas processing","Bus","CO2",8.142854e-05,"MTCO2e"
"184","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"gas processing","gas processing","Car","CO2",2.939198e-06,"MTCO2e"
"185","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"gas processing","gas processing","cement","CO2",3.97537e-05,"MTCO2e"
"186","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"gas processing","gas processing","comm others","CO2",5.875569e-08,"MTCO2e"
"187","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"gas processing","gas processing","construction","CO2",4.892381e-07,"MTCO2e"
"188","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"gas processing","gas processing","Heavy truck","CO2",1.673226e-05,"MTCO2e"
"189","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"gas processing","gas processing","industrial energy use","CO2",6.626108e-05,"MTCO2e"
"190","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"gas processing","gas processing","industrial feedstocks","CO2",8.80846e-05,"MTCO2e"
"191","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern",2025,"gas processing","gas processing","Large Car and Truck","CO2",4.288445e-06,"MTCO2e"
