"","scenario","region","direct","transformation","enduse","year","value","ghg","Units"
"21","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","mining energy use",2030,-0.0001357424,"CO2","MTCO2e"
"22","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","agricultural energy use",2035,-0.00265802,"CO2","MTCO2e"
"23","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Car",2035,-9.859894e-05,"CO2","MTCO2e"
"24","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","construction",2035,-0.001758704,"CO2","MTCO2e"
"25","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","industrial energy use",2035,-0.6492863,"CO2","MTCO2e"
"26","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","iron and steel",2035,-0.07718966,"CO2","MTCO2e"
"27","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Large Car and Truck",2035,-0.0007876278,"CO2","MTCO2e"
"28","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Mini Car",2035,-5.179008e-06,"CO2","MTCO2e"
"29","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","mining energy use",2035,-0.001159068,"CO2","MTCO2e"
"30","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","agricultural energy use",2040,-0.002893898,"CO2","MTCO2e"
"31","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Car",2040,-0.0002625984,"CO2","MTCO2e"
"32","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","construction",2040,-0.002114955,"CO2","MTCO2e"
"33","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","industrial energy use",2040,-1.063457,"CO2","MTCO2e"
"34","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","iron and steel",2040,-0.1911368,"CO2","MTCO2e"
"35","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Large Car and Truck",2040,-0.002519588,"CO2","MTCO2e"
"36","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","Mini Car",2040,-1.452566e-05,"CO2","MTCO2e"
"37","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 enduse","H2 enduse","mining energy use",2040,-0.001427717,"CO2","MTCO2e"
