scenario,region,direct,transformation,enduse,ghg,Units,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,electricity,industrial energy use,CH4,MTCO2e,0.043633972,0.037101597,0.030788222,0.039168491,0.028637925,0.045798202,0.077724572,0.078124153,0.048827661,0.029639743,0.015856134,0.008199837,0.00430805,0.002597963,0.001612241,0.000988203,0.000641062,0.000417767,0.000262316,0.000172295
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,electricity,Passenger Rail,CH4,MTCO2e,1.94E-05,0,0,0,0,0,5.27E-06,5.22E-06,2.84E-06,1.46E-06,6.50E-07,2.89E-07,1.35E-07,7.48E-08,4.33E-08,2.52E-08,1.57E-08,9.99E-09,6.18E-09,4.05E-09
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,electricity,resid cooling,CH4,MTCO2e,0.019547719,0.02139896,0.018090836,0.022936361,0.007823979,0.005265948,0.005115444,0.003847892,0.00214322,0.001264629,0.000696783,0.000383496,0.000215584,0.000137665,8.91E-05,5.58E-05,3.66E-05,2.38E-05,1.47E-05,9.64E-06
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,electricity,resid others,CH4,MTCO2e,0.022640817,0.024785047,0.020953457,0.052467029,0.030182605,0.028182626,0.032340118,0.026298423,0.015105297,0.008919923,0.004811407,0.002557595,0.001390161,0.000869939,0.000562505,0.000359063,0.000243013,0.000165035,0.000107641,7.39E-05
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,2W and 3W,CH4,MTCO2e,0.093731393,0.141577874,0.117213327,0.080908908,0.010256825,0.002650936,0.001022653,0.000332673,9.18E-05,2.50E-05,1.42E-05,8.08E-06,4.74E-06,2.87E-06,1.71E-06,1.02E-06,5.99E-07,3.53E-07,2.07E-07,1.17E-07
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,agricultural energy use,CH4,MTCO2e,0.880806453,0.523213834,0.431726144,0.60232081,0.381272874,0.240054684,0.157577425,0.097118513,0.047365032,0.022910964,0.012296355,0.007169119,0.004524745,0.003060195,0.002024414,0.001304808,0.000854976,0.000567651,0.00037663,0.000247953
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,Bus,CH4,MTCO2e,0.751224205,1.134674034,0.939419903,1.21423538,0.867330936,0.413587609,0.276830508,0.17322315,0.073328179,0.019530236,0.003696225,0,0,0,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,Car,CH4,MTCO2e,1.281754235,1.935998712,1.602852551,1.661790817,1.119715687,0.763082748,0.551900143,0.344602434,0.192907274,0.07946816,0.029665047,0.011029566,0.004581909,0.002392506,0.001507307,0.00086336,0.000469258,0.00024052,0.000111588,4.17E-05
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,cement,CH4,MTCO2e,0.399554014,0.501543566,0.335679494,0.493054181,0.350302396,0.447409702,0.642813449,0.759968233,0.656353651,0.490892455,0.347812444,0.241093134,0.168431572,0.121248559,0.083126121,0.05357855,0.034174009,0.021779338,0.01383521,0.008701294
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,comm heating,CH4,MTCO2e,0.039027115,0.042936969,0.028084682,0.04130496,0.02949276,0.026717889,0.028188526,0.028912038,0.025436911,0.021611775,0.019902316,0.018243416,0.016915029,0.01575009,0.013614505,0.01084569,0.008364682,0.006290447,0.004611759,0.003309305
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,comm others,CH4,MTCO2e,0.765659043,0.84230778,0.550957304,0.511999414,0.199991215,0.094180334,0.055861667,0.033701016,0.017702961,0.008989936,0.005837712,0.003765805,0.002466093,0.001651894,0.001064439,0.000657302,0.00040072,0.000242106,0.0001446,8.58E-05
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,construction,CH4,MTCO2e,0.070240861,0.195703668,0.06211522,0.081266799,0.046014119,0.028642698,0.021150609,0.016016402,0.009768075,0.005930845,0.003743566,0.002453859,0.001704993,0.001262287,0.000914476,0.000636079,0.000444384,0.000312931,0.000220448,0.000154018
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,Domestic Aviation,CH4,MTCO2e,0.886332519,1.098996218,0.744302262,1.195558125,0.916382592,0.862554746,0.935921576,0.950756803,0.817936607,0.679323914,0.618767899,0.560300595,0.511446444,0.471565754,0.407268229,0.326253142,0.254592313,0.195602919,0.147553541,0.108400541
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,Domestic Ship,CH4,MTCO2e,0.011895746,0.022217829,0.010422541,0.013889176,0.007640231,0.005290617,0.003970481,0.002712813,0.001596951,0.000931495,0.00070336,0.000539616,0.000426392,0.00034678,0.000270166,0.000199331,0.000145526,0.000105936,7.65E-05,5.42E-05
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,Freight Rail,CH4,MTCO2e,0.033820974,0.051086732,0.042295288,0.060195292,0.046721511,0.038703189,0.034590055,0.025840825,0.015637915,0.009013802,0.006539833,0.004787716,0.003575277,0.002710945,0.001919398,0.001238727,0.000746512,0.000402422,0.000163264,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,Heavy truck,CH4,MTCO2e,0.568636612,0.858890338,0.711092763,0.940930085,0.66363901,0.431376471,0.240017146,0.132417669,0.051822995,0.01474596,0.002766657,0.000326126,0,0,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,industrial energy use,CH4,MTCO2e,3.571804037,5.258641888,3.323027028,5.249010558,3.928018539,3.621098276,3.57758305,3.046644087,2.010675665,1.219627107,0.746598016,0.458934483,0.291961832,0.197213563,0.130324114,0.082718249,0.052741789,0.033956313,0.021896,0.014026846
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,industrial feedstocks,CH4,MTCO2e,1.082171494,1.016656951,0.816273967,1.314999176,1.395885737,1.877458912,2.852213063,3.587812201,3.284341474,2.764402126,2.227255631,1.77108163,1.415320324,1.159624188,0.902502242,0.658305037,0.473713907,0.338519055,0.239654695,0.166994386
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,International Aviation,CH4,MTCO2e,1.103114037,1.367792157,0.926348454,1.373884473,1.101149556,0.977053187,0.969568155,0.912039806,0.718759442,0.541657234,0.434699626,0.351266528,0.289568999,0.24375447,0.194022525,0.144405405,0.105479838,0.076385477,0.054656052,0.038281083
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,refining,International Ship,CH4,MTCO2e,1.327458765,2.74289913,0.382459607,0.506286937,0.349669852,0.258258699,0.213730909,0.169744421,0.114527654,0.07508231,0.052564636,0.037698606,0.028054683,0.021671845,0.016074045,0.011303319,0.007898457,0.005533357,0.003868577,0.002678383
