technology,capture_fraction
coal to liquids CCS level 1,0.818
coal to liquids CCS level 2,0.9
cellulosic ethanol CCS level 1,0.26
cellulosic ethanol CCS level 2,0.9
FT biofuels CCS level 1,0.818
FT biofuels CCS level 2,0.9
