technology,label
Hybrid Liquids,efficiency improvement
EAF with scrap,electrification
biomass,biomass
gas,gas
refined liquids,refined liquids
electricity,electrification
BEV,electrification
FCEV,hydrogen
Biomass-based,biomass
BLASTFUR CCS,CCS
BLASTFUR CCS with hydrogen,CCS + hydrogen
BLASTFUR with hydrogen,hydrogen
EAF with DRI CCS,CCS
Hydrogen-based DRI,hydrogen
gas CCS,CCS
hydrogen,hydrogen
Hydrogen,hydrogen
