ghg,Units
BC,Tg
BC_AWB,Tg
C2F6,MTCO2e
CF4,MTCO2e
CH4,MTCO2e
CH4_AGR,MTCO2e
CH4_AWB,MTCO2e
CO,Tg
CO_AWB,Tg
CO2,MTCO2e
H2_AWB,Tg
HFC125,MTCO2e
HFC134a,MTCO2e
HFC143a,MTCO2e
HFC152a,MTCO2e
HFC227ea,MTCO2e
HFC23,MTCO2e
HFC236fa,MTCO2e
HFC245fa,MTCO2e
HFC32,MTCO2e
HFC365mfc,MTCO2e
LUC CO2,MTCO2e
N2O,MTCO2e
N2O_AGR,MTCO2e
N2O_AWB,MTCO2e
NH3,Tg
NH3_AGR,Tg
NH3_AWB,Tg
NMVOC,Tg
NMVOC_AGR,Tg
NMVOC_AWB,Tg
NOx,Tg
NOx_AGR,Tg
NOx_AWB,Tg
OC,Tg
OC_AWB,Tg
SF6,MTCO2e
SO2_1,Tg
SO2_1_AWB,Tg
SO2_2,Tg
SO2_2_AWB,Tg
SO2_3,Tg
SO2_3_AWB,Tg
SO2_4,Tg
SO2_4_AWB,Tg
PM2.5,Tg
PM10,Tg
