"","scenario","region","direct","transformation","enduse","ghg","Units","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"14","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","2W and 3W","N2O_AGR","MTCO2e",0,0,0,1.08635000692358e-05,2.79778639875769e-05,6.08296761026119e-05,8.22836800987815e-05,5.82618978527861e-05,2.85252390187074e-05,1.30347501739778e-05,5.94461519773359e-06,3.53405890872167e-06,2.7035613167525e-06,2.520204850758e-06,2.68888039084229e-06,2.94729260309652e-06,3.21958375031361e-06,3.48942005061779e-06,3.70481852595424e-06,4.01160806878315e-06
"15","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","agricultural energy use","CO2","MTCO2e",-3.20565909825401e-08,1.28220782200377e-08,-6.10990122900735e-08,-1.44383833280411e-07,-0.0299018304373663,-0.102283062266787,-0.212226027759812,-0.248752066226859,-0.178873394707443,-0.103517890685591,-0.0717380717166838,-0.0567041459720334,-0.047056638602262,-0.043997569556888,-0.0399291852758491,-0.037091120211151,-0.0360268722509436,-0.0387909741149211,-0.0430940391319325,-0.0478434662841261
"16","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","agricultural energy use","N2O_AGR","MTCO2e",0,0,0,7.9827616766638e-05,0.00014302434399595,0.00039345279905222,0.00067181291579894,0.00055107339200314,0.00032157577511498,0.00017573510787898,9.31681819556035e-05,6.33804739801076e-05,5.55378816336404e-05,5.88825885928034e-05,7.08153578989484e-05,8.66484127336007e-05,0.00010472586506633,0.00012457717600525,0.00014406293158398,0.00016812178510868
"17","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","Bus","CO2","MTCO2e",0,0,0,-1.42936997954286e-08,-0.00963392544292179,-0.0347288794681029,-0.0831861344811521,-0.116618857636895,-0.0944230265896713,-0.0579512405416737,-0.0392793285307717,-0.0291790287754412,-0.021755861321485,-0.0181752346865904,-0.0146543335459016,-0.0121257638630025,-0.0105941764975678,-0.0103508819855813,-0.0105184272204883,-0.0107704145557861
"18","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","Bus","N2O_AGR","MTCO2e",0,0,0,7.90236195900398e-06,4.60762265097599e-05,0.00013357302123934,0.00026328118638894,0.00025829773529923,0.0001697057011161,9.83379973101094e-05,5.09901792700504e-05,3.26022307498955e-05,2.56694758333958e-05,2.43187152309459e-05,2.59845650185938e-05,2.83214316205465e-05,3.07899643841158e-05,3.32358372972835e-05,3.5157620594477e-05,3.78419871226671e-05
"19","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","Car","CO2","MTCO2e",0,0,0,-3.36498860421049e-11,-0.0008688717815181,-0.0120763545174828,-0.0385781432230396,-0.0718689395643253,-0.0725658929732366,-0.052523003484072,-0.0443818830459544,-0.0406989351996289,-0.0371622739198983,-0.0369799972188333,-0.034878671715619,-0.0331735797174857,-0.0324956780766664,-0.0349152951064091,-0.0384168336390836,-0.042030495149044
"20","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","Car","N2O_AGR","MTCO2e",0,0,0,1.86035514380254e-08,4.15555769559962e-06,4.64476592151248e-05,0.00012209846484387,0.00015918166841954,0.00013042206111073,8.91267715247838e-05,5.76140239027444e-05,4.5473620347848e-05,4.38473144411341e-05,4.94797474207847e-05,6.18456724843802e-05,7.74815739603955e-05,9.44425242347015e-05,0.00011211016307206,0.00012840745419554,0.00014767467379749
"21","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","cement","CO2","MTCO2e",-7.98275856063393e-08,3.72789310398004e-08,-7.86397421421874e-08,-1.50607981284332e-07,-0.0133690220326882,-0.0330414657184013,-0.0703824018846913,-0.100509269345048,-0.0861050273288084,-0.0543541418158457,-0.0405825126033538,-0.0338090986765273,-0.0288230748550548,-0.0273310193256157,-0.0249422573502997,-0.0231873569512364,-0.0224018335731658,-0.0239270909299895,-0.0263634169008362,-0.0290222355101718
"22","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","cement","N2O_AGR","MTCO2e",0,0,0,8.32688531590181e-05,6.39457711492918e-05,0.00012710078172849,0.00022279928211539,0.000222663412714,0.00015479826359781,9.22732381080733e-05,5.27056112321668e-05,3.77897711397571e-05,3.40179954872647e-05,3.65775015070177e-05,4.42356854733393e-05,5.4167888806659e-05,6.51194859126388e-05,7.68418294742544e-05,8.81326327680176e-05,0.00010198404130751
"23","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","ces","CO2","MTCO2e",0,0,0,0,0,-0.00895836794294534,-0.134132753374519,-0.814528781590716,-0.599742992838133,-0.074787905208315,-0.00734361695286525,-0.00428745056436324,-0.00256498331478783,-0.00174392143160637,-0.00128020154281481,-0.00105158706682256,-0.000848892238772846,-0.000806729937703663,-0.000771884178329431,-0.000814899447177169
"24","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","ces","N2O_AGR","MTCO2e",0,0,0,0,0,3.44602015619951e-05,0.00042460445167763,0.00180446798036251,0.0010782085178578,0.00012696221399781,9.53735476998731e-06,4.79225362233027e-06,3.02728252506547e-06,2.333915469187e-06,2.27046782474801e-06,2.45660820359816e-06,2.46762953592936e-06,2.59081241786498e-06,2.58040090493707e-06,2.86355401027798e-06
"25","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","comm cooling","CO2","MTCO2e",-1.02609434813747e-07,4.96281291028022e-08,-1.36981116693234e-07,-2.99114842061599e-07,-0.0325615311337529,-0.0808701261561292,-0.165081744686608,-0.23225351820145,-0.203895017352791,-0.145031496581331,-0.128637112032371,-0.129765139964788,-0.132371988708114,-0.145784110648826,-0.150089621809722,-0.151932635211111,-0.156148404007299,-0.172579832589935,-0.192005536818345,-0.213158351738952
"26","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","comm cooling","N2O_AGR","MTCO2e",0,0,0,0.00016539837459424,0.00015577190240514,0.00031113301582261,0.00052266337660017,0.00051458482172646,0.00036645393018737,0.00024608434817288,0.00016694196999529,0.00014489923352617,0.00015604828679667,0.00019488695066337,0.00026585027090128,0.00035434842209392,0.00045302934788198,0.00055312008423758,0.00064059700462914,0.000747622794122
"27","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","comm others","CO2","MTCO2e",-4.00366051969052e-07,1.93641303995778e-07,-5.34481763095078e-07,-1.67102288819545e-06,-0.240816727380482,-0.680062251196008,-1.48141210392079,-2.17447382899774,-1.97517159417475,-1.45086351165012,-1.32474310436235,-1.37171424776339,-1.42972739848775,-1.60702727118058,-1.68682972709392,-1.74781015402276,-1.84357883821702,-2.10546260949093,-2.432750572793,-2.79217827046481
"28","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","comm others","N2O_AGR","MTCO2e",0,0,0,0.00092400787507694,0.00115204901148382,0.00261641509935612,0.00469028149564029,0.0048178009801906,0.00354991212084118,0.00246177423503334,0.00171921788421584,0.00153169289665764,0.00168545107841695,0.00214830438735327,0.0029878424271118,0.00407637088198421,0.00534872786024401,0.00674802865690481,0.00811649890813004,0.00979317067908338
"29","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","construction","CO2","MTCO2e",0,0,0,-5.30226555035327e-11,-2.99650587571579e-05,-0.000211213582172677,-0.000685220577564306,-0.0010885381939611,-0.00105039440800616,-0.000784303442587056,-0.00061880090635479,-0.000516947905945289,-0.000434123891394761,-0.000400160106878196,-0.000353149781525324,-0.00031340245350759,-0.000285194100836218,-0.000281967460254301,-0.000282280608115236,-0.000278505571518324
"30","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","construction","N2O_AGR","MTCO2e",0,0,0,2.93154166039153e-08,1.43326773272959e-07,8.12476408722783e-07,2.16910262628062e-06,2.41149528512479e-06,1.88838254276713e-06,1.33145728897737e-06,8.03653542086332e-07,5.77813187028624e-07,5.12368116609569e-07,5.35540103279919e-07,6.26319520367927e-07,7.32138177241838e-07,8.29025587174173e-07,9.05538227005825e-07,9.43661182696116e-07,9.78667673623667e-07
